crop ID,soil_type,Seedling Stage,MOI,temp,humidity,result
Wheat,Black Soil,Germination,1,25,80,1
Wheat,Black Soil,Germination,2,26,77,1
Wheat,Black Soil,Germination,3,27,74,1
Wheat,Black Soil,Germination,4,28,71,1
Wheat,Black Soil,Germination,5,29,68,1
Wheat,Black Soil,Germination,6,30,65,1
Wheat,Black Soil,Germination,7,31,62,1
Wheat,Black Soil,Germination,8,32,59,1
Wheat,Black Soil,Germination,9,33,56,1
Wheat,Black Soil,Germination,10,34,53,1
Wheat,Black Soil,Germination,11,35,50,1
Wheat,Black Soil,Germination,12,36,47,1
Wheat,Black Soil,Germination,13,37,44,1
Wheat,Black Soil,Germination,14,38,41,1
Wheat,Black Soil,Germination,15,39,38,1
Wheat,Black Soil,Germination,16,40,35,1
Wheat,Black Soil,Germination,17,41,32,1
Wheat,Black Soil,Germination,18,42,29,1
Wheat,Black Soil,Germination,19,43,26,1
Wheat,Black Soil,Germination,20,44,23,1
Wheat,Black Soil,Germination,21,45,20,1
Wheat,Black Soil,Germination,22,46,17,1
Wheat,Black Soil,Germination,23,25,80,1
Wheat,Black Soil,Germination,24,26,77.5,1
Wheat,Black Soil,Germination,25,27,75,1
Wheat,Black Soil,Germination,26,28,72.5,1
Wheat,Black Soil,Germination,27,29,70,1
Wheat,Black Soil,Germination,28,30,67.5,1
Wheat,Black Soil,Germination,29,31,65,1
Wheat,Black Soil,Germination,30,32,62.5,1
Wheat,Black Soil,Germination,31,33,60,2
Wheat,Black Soil,Germination,32,34,57.5,2
Wheat,Black Soil,Germination,33,35,55,2
Wheat,Black Soil,Germination,34,36,52.5,2
Wheat,Black Soil,Germination,35,37,50,2
Wheat,Black Soil,Germination,36,38,47.5,2
Wheat,Black Soil,Germination,37,39,45,2
Wheat,Black Soil,Germination,38,40,42.5,2
Wheat,Black Soil,Germination,39,41,40,2
Wheat,Black Soil,Germination,40,42,37.5,2
Wheat,Black Soil,Germination,41,43,35,0
Wheat,Black Soil,Germination,42,44,32.5,0
Wheat,Black Soil,Germination,43,45,30,0
Wheat,Black Soil,Germination,44,46,27.5,0
Wheat,Black Soil,Germination,45,25,80,0
Wheat,Black Soil,Germination,46,26,77.3,0
Wheat,Black Soil,Germination,47,27,74.6,0
Wheat,Black Soil,Germination,48,28,71.9,0
Wheat,Black Soil,Germination,49,29,69.2,0
Wheat,Black Soil,Germination,50,30,66.5,0
Wheat,Black Soil,Germination,51,31,63.8,0
Wheat,Black Soil,Germination,52,32,61.1,0
